17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
13,13,13,13,13,13,13,13,27,27,27,27,27,27,36,36,36,36,36,36,36,27,27,13
13,13,13,13,13,13,13,13,16,16,16,16,16,16,25,25,25,25,25,25,25,16,16,13
28,28,28,28,28,28,28,28,28,17,17,17,17,17,17,17,17,29,29,29,29,28,28,28
29,29,29,29,29,29,29,29,17,17,17,17,17,17,17,17,17,17,30,30,29,29,29,29
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,4.3,4.3,4.3,4.3
4.7,4.7,4.7,4.7,4.7,4.7,4.7,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,14.2,14.2,14.2,14.2,14.2,8.3,8.3,8.3,8.3
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,6,6,6
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,4,4,4,4
6.4,6.4,6.4,6.4,6.4,6.4,6.4,23,23,23,23,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4
6.1,6.1,6.1,6.1,6.1,6.1,6.1,18.5,18.5,18.5,18.5,18.5,6.1,6.1,6.1,6.1,18.5,18.5,18.5,18.5,18.5,6.1,6.1,6.1
4.8,4.8,4.8,4.8,4.8,4.8,4.8,12.7,12.7,12.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,5.9,5.9
5.4,5.4,5.4,5.4,5.4,5.4,14.7,14.7,5.4,5.4,5.4,5.4,5.4,5.4,5.4,14.7,14.7,14.7,14.7,14.7,5.4,5.4,5.4,5.4
7.1,7.1,7.1,7.1,7.1,10.2,10.2,10.2,10.2,10.2,7.1,7.1,7.1,7.1,7.1,7.1,7.1,10.2,10.2,10.2,10.2,10.2,7.1,7.1
13,13,13,13,13,13,13,13,13,13,13,13,24,24,24,24,24,24,24,24,24,13,13,13
